ASIN,Title,Brand Name,Average Customer Review,Number of Customer Reviews,Sales Rank,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B
B0A3C4D5B6,product 1,brand 1 ,4.4,5,"13,216",99.39%,100.00%
B0B9D0C1A8,product 2,brand 1 ,3,3,"6,430",99.31%,100.00%
B0C1A2B3D4,product 3,brand 1 ,0,0,"23,406",0.00%,0.00%
B0D7B6C9A8,product 4,brand 1 ,4.79,75,"21,895",99.89%,100.00%
B0E5A4C3B2,product 5,brand 1 ,4.26,746,"36,968",100.00%,0.00%
B0F8C7B9A6,product 6,brand 2,4.18,55,"29,824",100.00%,100.00%
B0G2D1A0B5,product 7,brand 2,4.58,45,"27,329",100.00%,100.00%
B0H4B3C8A7,product 8,brand 2,4.67,39,"93,007",100.00%,100.00%
B0I0A9D2B1,product 9,brand 2,4.64,28,"75,118",100.00%,0.00%
B0J6C5A8D4,product 10,brand 3,4,5,"60,567",100.00%,100.00%
