(Parent) ASIN	(Child) ASIN	Title	SKU	Sessions - Total	Sessions - Total - B2B	Session Percentage - Total	Session Percentage - Total - B2B	Page Views - Total	Page Views - Total - B2B	Page Views Percentage - Total	Page Views Percentage - Total - B2B	Featured Offer (Buy Box) Percentage	Featured Offer (Buy Box) Percentage - B2B	Units Ordered	Units Ordered - B2B	Unit Session Percentage	Unit Session Percentage - B2B	Ordered Product Sales	Ordered Product Sales - B2B	Total Order Items	Total Order Items - B2B
B0A3C4D5B6	B0A3C4D5B6	product 1	GZ-M3JQ-RB74	170	2	2.48%	1.42%	231	3	2.45%	1.53%	100.00%	100.00%	43	0	25.29%	0.00%	$214.57 	$0.00 	42	0
B0B9D0C1A8	B0B9D0C1A8	product 2	KP-39XH-B2Y1	590	2	8.60%	1.42%	825	4	8.74%	2.04%	99.46%	0.00%	27	1	4.58%	50.00%	$809.73 	$29.99 	27	1
B0C1A2B3D4	B0C1A2B3D4	product 3	84-RNQT-7F8W	259	3	3.77%	2.13%	386	4	4.09%	2.04%	100.00%	100.00%	11	1	4.25%	33.33%	$329.89 	$29.99 	11	1
B0D7B6C9A8	B0D7B6C9A8	product 4	TH-QD7K-MJ4B	188	3	2.74%	2.13%	253	3	2.68%	1.53%	100.00%	100.00%	10	0	5.32%	0.00%	$199.90 	$0.00 	10	0
B0E5A4C3B2	B0E5A4C3B2	product 5	5L-2JRV-DX9P	76	0	1.11%	0.00%	110	0	1.17%	0.00%	100.00%	0.00%	10	0	13.16%	0.00%	$99.90 	$0.00 	10	0
B0F8C7B9A6	B0F8C7B9A6	product 6	TL-X8G4-RN5F	44	0	0.64%	0.00%	54	0	0.57%	0.00%	100.00%	0.00%	9	0	20.45%	0.00%	$89.91 	$0.00 	9	0
B0G2D1A0B5	B0G2D1A0B5	product 7	V9-7YKW-T1Z2	162	0	2.36%	0.00%	218	0	2.31%	0.00%	100.00%	0.00%	8	0	4.94%	0.00%	$359.92 	$0.00 	8	0
B0H4B3C8A7	B0H4B3C8A7	product 8	QW-C8N4-K3HM	186	23	2.71%	16.31%	259	31	2.74%	15.82%	100.00%	100.00%	8	0	4.30%	0.00%	$359.92 	$0.00 	8	0
B0I0A9D2B1	B0I0A9D2B1	product 9	TE-B2J6-PFQX	65	2	0.95%	1.42%	122	2	1.29%	1.02%	100.00%	0.00%	8	0	12.31%	0.00%	$303.92 	$0.00 	8	0
B0J6C5A8D4	B0J6C5A8D4	product 10	78-P0ZL-YG3H	185	2	2.70%	1.42%	241	2	2.55%	1.02%	100.00%	100.00%	9	1	4.86%	50.00%	$449.87 	$49.95 	8	1
